date,max_temp,min_temp,morning_temp,midday_temp,evening_temp,av_temp
2023-01-01,18.5,7.6,8.1,17.3,10.1,11.4
2023-01-02,16.6,7.1,7.5,15.8,9.5,10.6
2023-01-03,14.9,5.1,7.1,13.9,5.1,7.8
2023-01-04,11.6,4.8,5.8,10.4,6.0,7.1
2023-01-05,15.3,3.2,3.9,13.9,10.3,9.6
2023-01-06,13.5,7.0,7.0,13.1,7.6,8.8
2023-01-07,12.3,6.4,6.8,11.9,6.7,8.0
2023-01-08,14.4,3.5,3.9,14.0,8.7,8.8
2023-01-09,10.6,5.6,5.9,10.0,6.3,7.1
2023-01-10,9.1,4.8,5.6,5.4,5.2,5.4
2023-01-11,5.7,4.2,4.8,5.1,4.3,4.6
2023-01-12,6.5,3.9,4.7,6.1,4.0,4.7
2023-01-13,10.2,3.4,5.3,9.5,5.7,6.6
2023-01-14,6.5,3.5,4.1,5.9,4.6,4.8
2023-01-15,11.0,3.1,3.1,10.6,6.1,6.5
2023-01-16,9.2,5.4,5.6,7.5,8.7,7.6
2023-01-17,14.3,8.1,8.1,10.7,14.3,11.9
2023-01-18,15.6,10.6,12.7,13.6,10.9,12.0
2023-01-19,16.0,4.7,11.4,10.9,4.7,7.9
2023-01-20,4.7,0.2,0.2,0.8,1.0,0.8
2023-01-21,3.8,0.5,0.5,2.8,2.8,2.2
2023-01-22,4.7,1.5,1.9,4.4,3.9,3.5
2023-01-23,8.7,3.9,8.0,7.1,4.5,6.0
2023-01-24,4.6,1.8,2.9,3.5,1.8,2.5
2023-01-25,2.9,1.4,1.7,2.7,1.7,2.0
2023-01-26,1.7,0.1,1.1,1.0,0.1,0.6
2023-01-27,0.8,0.0,0.1,0.7,0.3,0.4
2023-01-28,1.2,0.1,0.4,0.9,1.1,0.9
2023-01-29,2.1,0.6,0.8,1.9,0.9,1.1
2023-01-30,4.6,-0.1,-0.1,3.9,1.6,1.8
2023-01-31,6.5,1.3,2.6,5.7,3.1,3.6
2023-02-01,10.5,2.3,3.6,9.1,5.2,5.8
2023-02-02,7.0,3.8,4.7,5.9,5.2,5.3
2023-02-03,8.2,1.1,1.1,6.9,5.5,4.8
2023-02-04,6.7,0.8,5.4,3.2,0.8,2.6
2023-02-05,1.0,-2.4,-2.2,0.0,-2.0,-1.6
2023-02-06,1.6,-5.5,-5.4,0.9,-1.5,-1.9
2023-02-07,1.4,-5.5,-5.5,1.0,-2.3,-2.3
2023-02-08,2.8,-4.1,-3.9,2.1,-1.2,-1.1
2023-02-09,3.3,-3.9,-3.8,3.1,-1.5,-0.9
2023-02-10,5.0,-4.3,-3.9,3.7,-0.8,-0.5
2023-02-11,6.1,-4.2,-3.8,4.9,1.6,1.1
2023-02-12,8.7,0.9,1.4,7.2,4.9,4.6
2023-02-13,10.6,0.5,0.8,10.1,4.3,4.9
2023-02-14,6.6,2.9,3.6,6.0,4.2,4.5
2023-02-15,10.6,1.6,1.6,9.6,4.2,4.9
2023-02-16,14.1,1.8,2.8,13.4,5.8,7.0
2023-02-17,16.0,2.0,2.1,15.1,9.1,8.9
